,Crop_names,Crop_1_yield_sole,Crop_2_yield_sole,Crop_1_yield_intercropped,Crop_2_yield_intercropped,LER_tot
915,Maize/soybean,3.55,3.43,2.53,2.48,1.44
916,Maize/soybean,1.83,3.05,0.76,2.63,1.28
917,Maize/soybean,2.49,3.33,1.99,2.43,1.53
918,Maize/soybean,3.55,3.42,2.73,2.37,1.46
919,Maize/soybean,1.83,2.97,0.8,2.44,1.26
920,Maize/soybean,2.49,3.18,1.58,2.5,1.42
921,Maize/soybean,3.55,3.43,2.36,2.31,1.34
922,Maize/soybean,1.36,2.68,1.12,2.03,1.57
923,Maize/soybean,1.82,2.6,1.24,2.16,1.51
924,Maize/soybean,2.4,2.86,1.47,2.02,1.32
925,Maize/soybean,1.36,0.5,1.29,0.47,1.89
926,Maize/soybean,1.82,0.61,1.34,0.57,1.67
927,Maize/soybean,2.4,0.87,1.96,0.55,1.44
928,Maize/soybean,1.36,2.68,1.05,2.26,1.61
929,Maize/soybean,1.82,2.6,1.73,2.17,1.79
930,Maize/soybean,2.4,2.86,2.32,2.02,1.67
931,Maize/soybean,1.36,0.5,1.12,0.52,1.85
932,Maize/soybean,1.82,0.61,1.38,0.51,1.6
933,Maize/soybean,2.4,0.87,2.4,0.59,1.67
